Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 1,beginner.,Where is the bathroom?,கழிவறை எங்கே இருக்கிறது? (Kazhivaraie enge irukkiradhu?),बाथरूम कहाँ है? (Bathroom kahan hai?)
Day 1,beginner.,Go straight.,நேராக செல்லுங்கள். (Neraaga sellungal.),सीधे जाइये। (Seedhe jaiye.)
Day 1,beginner.,Turn left.,இடதுபுறம் திரும்புங்கள். (Idadhupuram thirumbungal.),बाएँ मुड़ें। (Baayein mudein.)
Day 1,beginner.,Turn right.,வலதுபுறம் திரும்புங்கள். (Valadhupuram thirumbungal.),दाएँ मुड़ें। (Daayein mudein.)
Day 1,beginner.,Stop here.,இங்கே நிறுத்துங்கள். (Inge niruthungal.),यहाँ रोकिए। (Yahan rokiye.)
Day 2,beginner.,How much is this?,இது எவ்வளவு? (Idhu evvalavu?),यह कितने का है? (Yeh kitne ka hai?)
Day 2,beginner.,I want this.,எனக்கு இது வேண்டும். (Enakku idhu vendum.),मुझे यह चाहिए। (Mujhe yeh chahiye.)
Day 2,beginner.,I don't want this.,எனக்கு இது வேண்டாம். (Enakku idhu vendaam.),मुझे यह नहीं चाहिए। (Mujhe yeh nahi chahiye.)
Day 2,beginner.,Can you help me?,எனக்கு உதவி செய்ய முடியுமா? (Enakku udhavi seiya mudiyuma?),क्या आप मेरी मदद कर सकते हैं? (Kya aap meri madad kar sakte hain?)
Day 2,beginner.,Call me.,எனக்கு போன் செய்யுங்கள். (Enakku phone seiyungal.),मुझे फ़ोन करें। (Mujhe phone karein.)
Day 3,beginner.,Give me water.,தண்ணீர் கொடுங்கள். (Thanneer kodungal.),पानी दीजिये। (Paani dijiye.)
Day 3,beginner.,Show me that.,அதை எனக்குக் காட்டுங்கள். (Adhai enakku kaattungal.),मुझे वह दिखाइए। (Mujhe woh dikhaiye.)
Day 3,beginner.,Open the door.,கதவைத் திறக்கவும். (Kadhavai thirakkavum.),दरवाज़ा खोलिए। (Darwaza kholiye.)
Day 3,beginner.,Close the door.,கதவை மூடவும். (Kadhavai moodavum.),दरवाज़ा बंद कीजिये। (Darwaza band kijiye.)
Day 3,beginner.,Wait a moment.,ஒரு நிமிடம் இருங்கள். (Oru nimidam irungal.),एक मिनट रुकिए। (Ek minute rukiye.)
Day 4,beginner.,Speak louder.,சத்தமாகப் பேசுங்கள். (Sathamaaga pesungal.),ज़ोर से बोलिए। (Zoor se boliye.)
Day 4,beginner.,Write it down.,அதை எழுதுங்கள். (Adhai ezhudhungal.),इसे लिख लीजिये। (Ise likh lijiye.)
Day 4,beginner.,Is it far?,அது தூரமா? (Adhu dhoorama?),क्या वह दूर है? (Kya woh door hai?)
Day 4,beginner.,It is near.,அது பக்கத்தில் தான். (Adhu pakkathil dhaan.),वह पास में है। (Woh paas mein hai.)
Day 4,beginner.,I am lost.,நான் வழியை மறந்துவிட்டேன். (Naan vazhiyai marandhuvitten.),मैं रास्ता भटक गया हूँ। (Mein raasta bhatak gaya hoon.)
Day 5,beginner.,Take me there.,என்னை அங்கே அழைத்துச் செல்லுங்கள். (Ennai ange azhaithu sellungal.),मुझे वहाँ ले चलिये। (Mujhe wahan le chaliye.)
Day 5,beginner.,Slow down.,மெதுவாகச் செல்லுங்கள். (Medhuvaaga sellungal.),धीरे चलिये। (Dheere chaliye.)
Day 5,beginner.,Hurry up.,சீக்கிரம். (Seekkiram.),जल्दी कीजिये। (Jaldi kijiye.)
Day 5,beginner.,Can I have the bill?,பில் கொடுக்க முடியுமா? (Bill kodukka mudiyuma?),क्या मुझे बिल मिल सकता है? (Kya mujhe bill mil sakta hai?)
Day 5,beginner.,I need a doctor.,எனக்கு ஒரு மருத்துவர் தேவை. (Enakku oru maruthuvar thevai.),मुझे डॉक्टर की ज़रूरत है। (Mujhe doctor ki zaroorat hai.)
Day 6,beginner.,Where is the bus stand?,பேருந்து நிலையம் எங்கே? (Perundhu nilayam enge?),बस स्टैंड कहाँ है? (Bus stand kahan hai?)
Day 6,beginner.,How to go there?,அங்கே எப்படிப் போவது? (Ange eppadi povadhu?),वहाँ कैसे जाएँ? (Wahan kaise jayein?)
Day 6,beginner.,Can you repeat?,மறுபடியும் சொல்ல முடியுமா? (Marupadiyum solla mudiyuma?),क्या आप दोहरा सकते हैं? (Kya aap dohra sakte hain?)
Day 6,beginner.,Lower the price.,விலையைக் குறைக்கவும். (Vilaiyai kuraikkavum.),दाम कम कीजिये। (Daam kam kijiye.)
Day 6,beginner.,It's too expensive.,இது மிகவும் விலை அதிகம். (Idhu migavum vilai adhigam.),यह बहुत महँगा है। (Yeh bahut mehnga hai.)
Day 7,beginner.,Do you have this?,உங்களிடம் இது இருக்கிறதா? (Ungalidam idhu irukkiradha?),क्या आपके पास यह है? (Kya aapke paas yeh hai?)
Day 7,beginner.,Bring some tea.,டீ கொண்டு வாருங்கள். (Tea kondu vaarungal.),चाय लेकर आइये। (Chai lekar aaiye.)
Day 7,beginner.,What time is it?,மணி என்ன? (Mani enna?),समय क्या हुआ है? (Samay kya hua hai?)
Day 7,beginner.,I'm looking for...,நான் ... தேடிக்கொண்டிருக்கிறேன். (Naan ... thedikondirukkiren.),मैं ... ढूँढ रहा हूँ। (Mein ... dhoondh raha hoon.)
Day 7,beginner.,Switch on the light.,லைட்டை போடுங்கள். (Light-ai podungal.),लाइट जला दीजिये। (Light jala dijiye.)
Day 8,beginner.,Switch off the light.,லைட்டை அணைக்கவும். (Light-ai anaikkavum.),लाइट बंद कीजिये। (Light band kijiye.)
