English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples,Tamil Examples,Hindi Examples
Speak / Spoke / Spoken,Day 1,Beginner,பேசு / பேசினேன் / பேசியுள்ளேன்,बोलना / बोला / बोल चुका,1. I speak English. // 2. I spoke English yesterday. // 3. I have spoken English before.,1. நான் ஆங்கிலம் பேசுகிறேன். // 2. நான் நேற்று ஆங்கிலம் பேசினேன். // 3. நான் முன்பே ஆங்கிலம் பேசியுள்ளேன்.,1. मैं अंग्रेजी बोलता हूँ। // 2. मैंने कल अंग्रेजी बोली। // 3. मैं पहले अंग्रेजी बोल चुका हूँ।
Drink / Drank / Drunk,Day 1,Beginner,குடி / குடித்தேன் / குடித்திருக்கிறேன்,पीना / पीया / पी चुका,1. I drink water. // 2. I drank water a while ago. // 3. I have drunk water.,1. நான் தண்ணீர் குடிக்கிறேன். // 2. நான் சற்று முன் தண்ணீர் குடித்தேன். // 3. நான் தண்ணீர் குடித்திருக்கிறேன்.,1. मैं पानी पीता हूँ। // 2. मैंने थोड़ी देर पहले पानी पीया। // 3. मैं पानी पी चुका हूँ।
Come / Came / Come,Day 1,Beginner,வா / வந்தேன் / வந்திருக்கிறேன்,आना / आया / आ चुका,1. I come to work. // 2. I came to work yesterday. // 3. I have come to work.,1. நான் வேலைக்கு வருகிறேன். // 2. நான் நேற்று வேலைக்கு வந்தேன். // 3. நான் வேலைக்கு வந்திருக்கிறேன்.,1. मैं काम पर आता हूँ। // 2. मैं कल काम पर आया था। // 3. मैं काम पर आ चुका हूँ।
Read / Read / Read,Day 1,Beginner,படி / படித்தேன் / படித்திருக்கிறேன்,पढ़ना / पढ़ा / पढ़ चुका,1. I read books. // 2. I read a book last night. // 3. I have read this book.,1. நான் புத்தகங்கள் படிக்கிறேன். // 2. நான் நேற்று இரவு ஒரு புத்தகம் படித்தேன். // 3. நான் இந்த புத்தகத்தைப் படித்திருக்கிறேன்.,1. मैं किताबें पढ़ता हूँ। // 2. मैंने कल रात एक किताब पढ़ी। // 3. मैं यह किताब पढ़ चुका हूँ।
Tell / Told / Told,Day 1,Beginner,சொல் / சொன்னேன் / சொல்லியிருக்கிறேன்,बताना / बताया / बता चुका,1. I tell the truth. // 2. I told him the news. // 3. I have told you already.,1. நான் உண்மை சொல்கிறேன். // 2. நான் அவனிடம் செய்தி சொன்னேன். // 3. நான் ஏற்கனவே உன்னிடம் சொல்லியிருக்கிறேன்.,1. मैं सच बताता हूँ। // 2. मैंने उसे खबर बताई। // 3. मैं तुम्हें पहले ही बता चुका हूँ।
Buy / Bought / Bought,Day 2,Beginner,வாங்கு / வாங்கினேன் / வாங்கியுள்ளேன்,खरीदना / खरीदा / खरीद चुका,1. I buy vegetables. // 2. I bought a car. // 3. I have bought a pen.,1. நான் காய்கறிகள் வாங்குகிறேன். // 2. நான் ஒரு கார் வாங்கினேன். // 3. நான் ஒரு பேனா வாங்கியுள்ளேன்.,1. मैं सब्जियाँ खरीदता हूँ। // 2. मैंने एक कार खरीदी। // 3. मैं एक पेन खरीद चुका हूँ।
Hear / Heard / Heard,Day 2,Beginner,கேள் / கேட்டேன் / கேட்டிருக்கிறேன்,सुनना / सुना / सुन चुका,1. I hear a sound. // 2. I heard the music. // 3. I have heard this song.,1. நான் ஒரு சத்தம் கேட்கிறேன். // 2. நான் அந்த இசையைக் கேட்டேன். // 3. நான் இந்தப் பாடலைக் கேட்டிருக்கிறேன்.,1. मुझे एक आवाज सुनाई देती है। // 2. मैंने संगीत सुना। // 3. मैंने यह गाना सुना है।
Cut / Cut / Cut,Day 2,Beginner,வெட்டு / வெட்டினேன் / வெட்டியுள்ளேன்,काटना / काटा / काट चुका,1. I cut the cake. // 2. I cut the paper. // 3. I have cut the apple.,1. நான் கேக்கை வெட்டுகிறேன். // 2. நான் காகிதத்தை வெட்டினேன். // 3. நான் ஆப்பிளை வெட்டியுள்ளேன்.,1. मैं केक काटता हूँ। // 2. मैंने कागज काटा। // 3. मैं सेब काट चुका हूँ।
Keep / Kept / Kept,Day 2,Beginner,வை / வைத்தேன் / வைத்திருக்கிறேன்,रखना / रखा / रख चुका,1. I keep the keys here. // 2. I kept the bag inside. // 3. I have kept the money safe.,1. நான் சாவிகளை இங்கே வைக்கிறேன். // 2. நான் பையை உள்ளே வைத்தேன். // 3. நான் பணத்தைப் பத்திரமாக வைத்திருக்கிறேன்.,1. मैं चाबियाँ यहाँ रखता हूँ। // 2. मैंने बैग अंदर रखा। // 3. मैंने पैसे सुरक्षित रखे हैं।
Send / Sent / Sent,Day 2,Beginner,அனுப்பு / அனுப்பினேன் / அனுப்பியுள்ளேன்,भेजना / भेजा / भेज चुका,1. I send an email. // 2. I sent a gift. // 3. I have sent the letter.,1. நான் ஒரு மின்னஞ்சல் அனுப்புகிறேன். // 2. நான் ஒரு பரிசு அனுப்பினேன். // 3. நான் கடிதத்தை அனுப்பியுள்ளேன்.,1. मैं एक ईमेल भेजता हूँ। // 2. मैंने एक उपहार भेजा। // 3. मैं पत्र भेज चुका हूँ।
Stand / Stood / Stood,Day 3,Beginner,நில் / நின்றேன் / நின்றிருக்கிறேன்,खड़ा होना / खड़ा हुआ / खड़ा हो चुका,1. I stand in the queue. // 2. I stood there for an hour. // 3. I have stood all day.,1. நான் வரிசையில் நிற்கிறேன். // 2. நான் அங்கே ஒரு மணி நேரம் நின்றேன். // 3. நான் நாள் முழுவதும் நின்றிருக்கிறேன்.,1. मैं कतार में खड़ा हूँ। // 2. मैं वहाँ एक घंटे तक खड़ा रहा। // 3. मैं दिन भर खड़ा रहा हूँ।
Fall / Fell / Fallen,Day 3,Beginner,விழு / விழுந்தேன் / விழுந்திருக்கிறேன்,गिरना / गिरा / गिर चुका,1. Leaves fall in autumn. // 2. I fell down yesterday. // 3. The temperature has fallen.,1. இலையுதிர்காலத்தில் இலைகள் விழுகின்றன. // 2. நான் நேற்று கீழே விழுந்தேன். // 3. வெப்பநிலை குறைந்துவிட்டது.,1. पतझड़ में पत्ते गिरते हैं। // 2. मैं कल गिर गया था। // 3. तापमान गिर चुका है।
Wear / Wore / Worn,Day 3,Beginner,அணி / அணிந்தேன் / அணிந்திருக்கிறேன்,पहनना / पहना / पहन चुका,1. I wear a watch. // 2. She wore a red dress. // 3. I have worn these shoes before.,1. நான் கடிகாரம் அணிகிறேன். // 2. அவள் சிவப்பு உடை அணிந்தாள். // 3. நான் இந்த காலணிகளை முன்பே அணிந்துள்ளேன்.,1. मैं घड़ी पहनता हूँ। // 2. उसने लाल ड्रेस पहनी थी। // 3. मैं ये जूते पहले पहन चुका हूँ।
Feed / Fed / Fed,Day 3,Beginner,உணவளி / உணவளித்தேன் / உணவளித்திருக்கிறேன்,खिलाना / खिलाया / खिला चुका,1. I feed the dog. // 2. He fed the birds. // 3. I have fed the baby.,1. நான் நாய்க்கு உணவளிக்கிறேன். // 2. அவர் பறவைகளுக்கு உணவளித்தார். // 3. நான் குழந்தைக்கு உணவளித்துள்ளேன்.,1. मैं कुत्ते को खाना खिलाता हूँ। // 2. उसने पक्षियों को दाना खिलाया। // 3. मैं बच्चे को खाना खिला चुका हूँ।
Make / Made / Made,Day 3,Beginner,உருவாக்கு / உருவாக்கினேன் / உருவாக்கியுள்ளேன்,बनाना / बनाया / बना चुका,1. I make tea. // 2. My mother made dinner. // 3. I have made a mistake.,1. நான் தேநீர் தயாரிக்கிறேன். // 2. என் அம்மா இரவு உணவு சமைத்தார். // 3. நான் ஒரு தவறு செய்துவிட்டேன்.,1. मैं चाय बनाता हूँ। // 2. मेरी माँ ने रात का खाना बनाया। // 3. मैंने एक गलती की है।
Sell / Sold / Sold,Day 4,Beginner,விற்று / விற்றேன் / விற்றிருக்கிறேன்,बेचना / बेचा / बेच चुका,1. They sell fruits. // 2. He sold his bike. // 3. I have sold my old books.,1. அவர்கள் பழங்கள் விற்கிறார்கள். // 2. அவன் தன் பைக்கை விற்றான். // 3. நான் என் பழைய புத்தகங்களை விற்றுள்ளேன்.,1. वे फल बेचते हैं। // 2. उसने अपनी बाइक बेच दी। // 3. मैं अपनी पुरानी किताबें बेच चुका हूँ।
Be / Was-Were / Been,Day 4,Beginner,இரு / இருந்தேன் / இருந்திருக்கிறேன்,होना / था / हो चुका,1. I am happy. // 2. I was tired / They were busy. // 3. I have been there.,1. நான் மகிழ்ச்சியாக இருக்கிறேன். // 2. நான் சோர்வாக இருந்தேன் / அவர்கள் வேலையாக இருந்தார்கள். // 3. நான் அங்கு இருந்திருக்கிறேன்.,1. मैं खुश हूँ। // 2. मैं थका हुआ था / वे व्यस्त थे। // 3. मैं वहाँ रह चुका हूँ।
Cost / Cost / Cost,Day 4,Beginner,விலையிடு / விலையிட்டேன் / விலையிட்டிருக்கிறேன்,कीमत होना / कीमत हुई / कीमत हो चुकी,1. These shoes cost a lot. // 2. It cost me 500 rupees. // 3. The repairs have cost much.,1. இந்த காலணிகளின் விலை அதிகம். // 2. இதன் விலை எனக்கு 500 ரூபாய் ஆனது. // 3. பழுதுபார்ப்பிற்கு அதிக செலவு ஆகியுள்ளது.,1. इन जूतों की कीमत बहुत है। // 2. इसकी कीमत मुझे 500 रुपये पड़ी। // 3. मरम्मत में बहुत खर्च हुआ है।
Feel / Felt / Felt,Day 4,Beginner,உணர் / உணர்ந்தேன் / உணர்ந்திருக்கிறேன்,महसूस करना / महसूस किया / महसूस कर चुका,1. I feel cold. // 2. I felt happy yesterday. // 3. I have felt better today.,1. நான் குளிராக உணர்கிறேன். // 2. நான் நேற்று மகிழ்ச்சியாக உணர்ந்தேன். // 3. நான் இன்று நன்றாக உணர்கிறேன்.,1. मुझे ठंड लग रही है। // 2. मुझे कल खुशी महसूस हुई। // 3. मैंने आज बेहतर महसूस किया है।
Hide / Hid / Hidden,Day 4,Beginner,மறை / மறைத்தேன் / மறைத்திருக்கிறேன்,छिपना / छिपा / छिप चुका,1. I hide the keys. // 2. He hid behind the door. // 3. They have hidden the truth.,1. நான் சாவிகளை மறைக்கிறேன். // 2. அவன் கதவின் பின்னால் ஒளிந்தான். // 3. அவர்கள் உண்மையை மறைத்துள்ளனர்.,1. मैं चाबियाँ छुपाता हूँ। // 2. वह दरवाजे के पीछे छिप गया। // 3. उन्होंने सच छुपाया है।
Worry / Worried / Worried,Day 5,Beginner,கவலைப்படு / கவலைப்பட்டேன் / கவலைப்பட்டிருக்கிறேன்,चिंता करना / चिंता की / चिंता कर चुका,1. I worry about the exam. // 2. She worried all night. // 3. I have worried enough.,1. நான் தேர்வைப் பற்றி கவலைப்படுகிறேன். // 2. அவள் இரவு முழுவதும் கவலைப்பட்டாள். // 3. நான் போதுமான அளவு கவலைப்பட்டுவிட்டேன்.,1. मैं परीक्षा की चिंता करता हूँ। // 2. वह रात भर चिंतित रही। // 3. मैं काफी चिंता कर चुका हूँ।
Add / Added / Added,Day 5,Beginner,சேர் / சேர்த்தேன் / சேர்த்திருக்கிறேன்,जोड़ना / जोड़ा / जोड़ चुका,1. I add sugar to coffee. // 2. He added my name. // 3. I have added the numbers.,1. நான் காபியில் சர்க்கரை சேர்க்கிறேன். // 2. அவர் என் பெயரைச் சேர்த்தார். // 3. நான் எண்களைக் கூட்டியுள்ளேன்.,1. मैं कॉफी में चीनी मिलाता हूँ। // 2. उसने मेरा नाम जोड़ा। // 3. मैं नंबर जोड़ चुका हूँ।
Answer / Answered / Answered,Day 5,Beginner,பதிலளி / பதிலளித்தேன் / பதிலளித்திருக்கிறேன்,जवाब देना / जवाब दिया / जवाब दे चुका,1. I answer the call. // 2. He answered the question. // 3. I have answered all emails.,1. நான் அழைப்பிற்கு பதிலளிக்கிறேன். // 2. அவர் கேள்விக்குப் பதிலளித்தார். // 3. நான் அனைத்து மின்னஞ்சல்களுக்கும் பதிலளித்துள்ளேன்.,1. मैं कॉल का जवाब देता हूँ। // 2. उसने सवाल का जवाब दिया। // 3. मैं सभी ईमेल का जवाब दे चुका हूँ।
Arrive / Arrived / Arrived,Day 5,Beginner,சேர் / சேர்ந்தேன் / சேர்ந்திருக்கிறேன்,पहुंचना / पहुंचा / पहुंच चुका,1. Trains arrive on time. // 2. He arrived late. // 3. The guests have arrived.,1. ரயில்கள் சரியான நேரத்திற்கு வருகின்றன. // 2. அவர் தாமதமாக வந்தார். // 3. விருந்தினர்கள் வந்துவிட்டார்கள்.,1. ट्रेनें समय पर आती हैं। // 2. वह देर से आया। // 3. मेहमान आ चुके हैं।
Believe / Believed / Believed,Day 5,Beginner,நம்பு / நம்பினேன் / நம்பியுள்ளேன்,विश्वास करना / विश्वास किया / विश्वास कर चुका,1. I believe you. // 2. I believed his story. // 3. I have always believed in God.,1. நான் உன்னை நம்புகிறேன். // 2. நான் அவன் கதையை நம்பினேன். // 3. நான் எப்போதும் கடவுளை நம்புகிறேன்.,1. मैं तुम पर विश्वास करता हूँ। // 2. मैंने उसकी कहानी पर विश्वास किया। // 3. मैंने हमेशा भगवान में विश्वास किया है।
Carry / Carried / Carried,Day 6,Beginner,சுமந்துசெல் / சுமந்துசென்றேன் / சுமந்துசென்றிருக்கிறேன்,ले जाना / ले गया / ले जा चुका,1. I carry a bag. // 2. He carried the box. // 3. I have carried this for miles.,1. நான் ஒரு பையைச் சுமக்கிறேன். // 2. அவர் பெட்டியைச் சுமந்து சென்றார். // 3. நான் இதை பல மைல்கள் சுமந்து வந்துள்ளேன்.,1. मैं एक बैग ले जाता हूँ। // 2. वह बक्सा ले गया। // 3. मैं इसे मीलों तक ले जा चुका हूँ।
Close / Closed / Closed,Day 6,Beginner,மூடு / மூடினேன் / மூடியுள்ளேன்,बंद करना / बंद किया / बंद कर चुका,1. I close the window. // 2. He closed the shop. // 3. I have closed the account.,1. நான் ஜன்னலை மூடுகிறேன். // 2. அவர் கடையை மூடினார். // 3. நான் கணக்கை மூடிவிட்டேன்.,1. मैं खिड़की बंद करता हूँ। // 2. उसने दुकान बंद कर दी। // 3. मैं खाता बंद कर चुका हूँ।
