English (V1/V2/V3),Day (Col B),Difficulty,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Abhor / Abhorred / Abhorred,Day 1,Advanced,வெறுத்து ஒதுக்கு / ஒதுக்கினேன் / ஒதுக்கியுள்ளேன்,घृणा करना / की / कर चुका,1. Abhor violence. // 2. He abhorred it. // 3. It is abhorred.,1. வெறு. // 2. அவர் வெறுத்தார். // 3. அது வெறுக்கப்பட்டது.,1. नफरत करना। // 2. उसने नफरत की। // 3. नफरत की गई है।
Abjure / Abjured / Abjured,Day 1,Advanced,சத்தியம் செய்து துற / துறந்தேன் / துறந்துள்ளேன்,शपथपूर्वक त्यागना / त्यागा / चुका,1. Abjure the crown. // 2. He abjured. // 3. It was abjured.,1. துற (சத்தியம் செய்து). // 2. அவர் துறந்தார். // 3. அது துறக்கப்பட்டது.,1. शपथपूर्वक त्यागना। // 2. उसने त्याग दिया। // 3. इसे त्याग दिया गया था।
Abnegate / Abnegated / Abnegated,Day 1,Advanced,மறு / மறுத்தேன் / மறுத்துள்ளேன்,त्याग करना / किया / कर चुका,1. Abnegate power. // 2. He abnegated. // 3. Rights abnegated.,1. விட்டுக்கொடு. // 2. அவர் மறுத்தார். // 3. உரிமைகள் மறுக்கப்பட்டன.,1. अधिकार त्यागना। // 2. उसने त्याग किया। // 3. अधिकार त्यागे गए।
Abominate / Abominated / Abominated,Day 1,Advanced,அருவருப்பாய் வெறு / வெறுத்தேன் / வெறுத்துள்ளேன்,नफरत करना / की / कर चुका,1. Abominate lies. // 2. She abominated it. // 3. It is abominated.,1. அருவருப்பாக வெறு. // 2. அவள் வெறுத்தாள். // 3. அது வெறுக்கப்பட்டது.,1. घृणा करना। // 2. वह नफरत करती थी। // 3. इससे घृणा की जाती है।
Abrogate / Abrogated / Abrogated,Day 1,Advanced,ரத்து செய் (சட்டம்) / செய்தேன் / செய்துள்ளேன்,रद्द करना / किया / कर चुका,1. Abrogate the law. // 2. They abrogated. // 3. It is abrogated.,1. ரத்து செய். // 2. அவர்கள் ரத்து செய்தனர். // 3. அது ரத்து செய்யப்பட்டது.,1. कानून रद्द करना। // 2. उन्होंने रद्द किया। // 3. इसे रद्द कर दिया गया है।
Abscond / Absconded / Absconded,Day 2,Advanced,தலைமறைவாகு / ஆனேன் / ஆகியுள்ளேன்,फरार होना / हुआ / हो चुका,1. Abscond with cash. // 2. He absconded. // 3. He has absconded.,1. ஓடி ஒளி (தலைமறைவு). // 2. அவர் ஓடினார். // 3. அவர் தலைமறைவாகியுள்ளார்.,1. फरार होना। // 2. वह भाग गया। // 3. वह फरार हो चुका है।
Absolve / Absolved / Absolved,Day 2,Advanced,பாவவிமோசனம் அளி / அளித்தேன் / அளித்துள்ளேன்,पापमुक्त करना / किया / कर चुका,1. Absolve all sins. // 2. He absolved me. // 3. I am absolved.,1. பாவம் நீக்கு. // 2. அவர் விடுவித்தார். // 3. நான் விடுவிக்கப்பட்டேன்.,1. पाप मुक्त करना। // 2. उसने मुक्त किया। // 3. मुझे मुक्त किया गया है।
Abstain / Abstained / Abstained,Day 2,Advanced,விலகியிரு / இருந்தேன் / இருந்துள்ளேன்,परहेज करना / किया / कर चुका,1. Abstain from salt. // 2. He abstained. // 3. I have abstained.,1. தவிர்த்து இரு. // 2. அவர் தவிர்த்தார். // 3. நான் தவிர்த்துள்ளேன்.,1. परहेज करना। // 2. वह दूर रहा। // 3. मैंने परहेज किया है।
Accede / Acceded / Acceded,Day 2,Advanced,இணங்கு / இணங்கினேன் / இணங்கியுள்ளேன்,मान लेना / माना / मान चुका,1. Accede to terms. // 2. He acceded. // 3. It is acceded.,1. ஒப்புக்கொள். // 2. அவர் சம்மதித்தார். // 3. அது ஒப்புக்கொள்ளப்பட்டது.,1. मान लेना। // 2. उसने स्वीकार किया। // 3. इसे मान लिया गया है।
Acclimatize / Acclimatized / Acclimatized,Day 2,Advanced,பழக்கப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,अभ्यस्त होना / हुआ / हो चुका,1. Acclimatize to cold. // 2. I acclimatized. // 3. He is acclimatized.,1. பழக்கப்படுத்து. // 2. நான் பழகினேன். // 3. அவர் பழகிவிட்டார்.,1. अभ्यस्त होना। // 2. मैं ढल गया। // 3. वह अभ्यस्त हो चुका है।
