No,Question,A,B,C,D,Answer
1,What is the subject of a sentence?,Action word,Person or thing the sentence is about,Object,Describing word,B
2,Identify the subject: The boy is playing in the park.,playing,park,is,The boy,D
3,"In “She sings well”, the subject is",sings,well,she,song,C
4,Which can be a subject?,Noun,Pronoun,Gerund,All of the above,D
5,Identify the subject: My best friend lives nearby.,lives,nearby,friend,My best friend,D
6,Running is good for health. Subject is,health,good,Running,is,C
7,Which sentence has a compound subject?,The dog barked,John and Mary went,She is reading,The sun rises,B
8,He and I are classmates. Type of subject,Simple,Complete,Compound,Implied,C
9,Simple subject: The little children are laughing.,little children,the little,children,laughing,C
10,Complete subject: The tall man with a hat is my uncle.,man,tall man,The tall man with a hat,uncle,C
11,Which has an implied subject?,She is happy,Close the door,John ran fast,They won,B
12,"In imperative sentences, subject is",he,they,we,you (understood),D
13,There are five students in the class. Subject is,there,students,five,class,B
14,“There” in There is a problem is,Simple subject,Real subject,Dummy subject,Compound subject,C
15,Which is NOT a subject?,Noun,Pronoun,Verb,Gerund,C
16,To help others is a noble act. Subject is,others,act,noble,To help others,D
17,Subject in The teacher and the students are ready,teacher,students,ready,teacher and students,D
18,Sentence with pronoun as subject,The cat sleeps,John runs,She is my sister,The book is new,C
19,Honesty is the best policy. Subject is,best,policy,honesty,is,C
20,Subject usually comes,At the end,Before the verb,After object,In the middle,B
21,Identify the subject: Birds fly in the sky.,fly,sky,Birds,in,C
22,"In “The phone rang suddenly”, the subject is",rang,suddenly,phone,The phone,D
23,Which sentence has a simple subject?,The old man walks,John and Tom run,Close the gate,There are books,A
24,Identify the subject: Our school won the match.,match,won,school,Our school,D
25,"In “Learning English is easy”, the subject is",English,easy,Learning English,is,C
26,What type of subject is “John or Peter”?,Simple,Compound,Alternative,Implied,C
27,Identify the subject: Each of the students was ready.,students,ready,Each,Each of the students,D
28,Which word is the subject? The glass broke.,glass,broke,the,none,A
29,Which sentence has an introductory “there”?,She is late,There is hope,John came,We won,B
30,The real subject in “There was a noise” is,there,was,noise,a,C
31,Identify the subject: Swimming is my hobby.,hobby,my,Swimming,is,C
32,"In “The red car is fast”, the subject is",car,red,fast,The red car,D
33,Which is a compound subject?,The boy runs,The girl sings,Tom and Jerry play,He sleeps,C
34,Identify the subject: What she said surprised me.,she,said,What she said,me,C
35,"In “We must obey rules”, the subject is",obey,rules,must,We,D
36,Which sentence has an implied subject?,You are kind,Read carefully,She laughed,They came,B
37,Identify the subject: A bunch of keys is missing.,keys,bunch,missing,A bunch of keys,D
38,"In “Neither Ram nor Ravi came”, the subject is",Ram,Ravi,came,Neither Ram nor Ravi,D
39,What type of subject is “You” in commands?,Simple,Understood,Compound,Dummy,B
40,Identify the subject: The teacher who teaches us is kind.,teacher,who,teaches,The teacher who teaches us,D
41,Which is NOT a complete subject?,The happy child,A red ball,Running fast,My new pen,C
42,Identify the subject: Ten years is a long time.,years,long,Ten years,time,C
43,Which sentence has a gerund as subject?,He is running,Running is fun,She ran,They run,B
44,Identify the subject: The news shocked everyone.,news,shocked,everyone,The news,D
45,"In “Someone is knocking”, the subject is",knocking,is,Someone,none,C
46,Identify the subject: Helping the poor is important.,poor,important,Helping the poor,is,C
47,Which sentence has a pronoun subject?,Books are useful,The boy ran,It is raining,Apples are sweet,C
48,Identify the subject: My father’s advice helped me.,advice,father,helped,My father’s advice,D
49,The subject answers which question?,Why?,How?,Who/What?,When?,C
50,Identify the subject: Every child needs love.,needs,love,child,Every child,D
,,,,,,
,,,,,,
Lesson 2 - Parts of Speech,,,,,,
No,Question,A,B,C,D,Answer
1,How many main parts of speech are there in English?,6,7,8,9,C
2,"Which part of speech names a person, place, or thing?",Verb,Noun,Adjective,Adverb,B
3,Identify the noun: The child is happy.,child,is,happy,the,A
4,Which word is a pronoun?,John,Book,He,School,C
5,Pronouns are used to replace,Nouns,Verbs,Adverbs,Prepositions,A
6,Identify the verb: She writes a letter.,she,writes,letter,a,B
7,A verb shows,name,action or state,description,place,B
8,Identify the adjective: She has a beautiful dress.,she,has,beautiful,dress,C
9,An adjective describes a,noun or pronoun,verb,adverb,conjunction,A
10,Identify the adverb: He runs quickly.,he,runs,quickly,none,C
11,An adverb usually describes,noun,pronoun,verb,article,C
12,Which word is a preposition?,under,run,happy,quickly,A
13,A preposition shows,action,position or relation,quality,time only,B
14,Identify the preposition: The cat is on the table.,cat,is,on,table,C
15,Which word is a conjunction?,and,very,in,tall,A
16,A conjunction joins,sentences or words,nouns only,verbs only,subjects only,A
17,Identify the conjunction: John and Mary came.,John,and,Mary,came,B
18,Which word is an article?,a,big,run,slowly,A
19,Articles are,"a, an, the","this, that","he, she","in, on",A
20,Identify the article: She bought an umbrella.,she,bought,an,umbrella,C
21,Which part of speech shows strong feeling?,Interjection,Verb,Adverb,Noun,A
22,Identify the interjection: Wow! That’s great.,wow,that’s,great,none,A
23,Which is NOT a part of speech?,Noun,Verb,Sentence,Adjective,C
24,Identify the noun: Honesty is the best policy.,honesty,is,best,policy,A
25,Identify the verb: They are playing.,they,are,playing,both B & C,D
26,Identify the adjective: It is a cold day.,it,is,cold,day,C
27,Identify the adverb: She spoke softly.,she,spoke,softly,none,C
28,Which word is a pronoun?,teacher,student,we,school,C
29,Identify the conjunction: I was tired but happy.,I,was,but,happy,C
30,Identify the preposition: He sat beside me.,sat,beside,me,he,B
31,Which word is an interjection?,oh,run,blue,table,A
32,Identify the article: The sun is bright.,the,sun,is,bright,A
33,Which part of speech describes a verb?,Adjective,Adverb,Noun,Pronoun,B
34,Identify the adjective: She wore a red dress.,wore,red,dress,she,B
35,Which word is a verb?,jump,quickly,tall,under,A
36,Identify the noun: The teacher teaches well.,teacher,teaches,well,the,A
37,Which part of speech replaces a noun?,Adjective,Pronoun,Verb,Adverb,B
38,Identify the adverb: He arrived late.,he,arrived,late,none,C
39,Identify the preposition: The book is in the bag.,book,is,in,bag,C
40,Which word joins two clauses?,Preposition,Article,Conjunction,Interjection,C
41,Identify the conjunction: She sang because she was happy.,sang,because,was,happy,B
42,Which part of speech expresses emotion?,Noun,Verb,Interjection,Adverb,C
