Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
1,Day 1,Fight,Verb,Beginner,சண்டை,लड़ना [Ladna],Do not fight with others.,மற்றவர்களுடன் சண்டை போடாதீர்கள்.,दूसरों के साथ मत लड़ो।,"Battle, Conflict",போர்
2,Day 1,Peace,Noun,Beginner,அமைதி,शांति [Shanti],Everyone wants peace.,அனைவரும் அமைதியை விரும்புகிறார்கள்.,हर कोई शांति चाहता है।,"Calm, Quiet",நிம்மதி
3,Day 1,Noise,Noun,Beginner,சத்தம்,शोर [Shor],Stop making that noise.,அந்த சத்தத்தை நிறுத்துங்கள்.,वह शोर करना बंद करो।,"Sound, Racket",இறைச்சல்
4,Day 1,School,Noun,Beginner,பள்ளி,स्कूल [School],I go to school daily.,நான் தினமும் பள்ளிக்குச் செல்கிறேன்.,मैं रोज़ स्कूल जाता हूँ।,"Academy, College",பள்ளி
5,Day 1,Road,Noun,Beginner,சாலை,सड़क [Sadak],The road is very wide.,சாலை மிகவும் விரிவானது.,सड़क बहुत चौड़ी है।,"Street, Path",வீதி
6,Day 2,Sand,Noun,Beginner,மணல்,रेत [Ret],We played in the sand.,நாங்கள் மணலில் விளையாடினோம்.,हम रेत में खेले।,"Dust, Grains",துகள்
7,Day 2,Stone,Noun,Beginner,கல்,पत्थर [Patthar],He threw a stone.,அவன் ஒரு கல்லை எறிந்தான்.,उसने एक पत्थर फेंका।,"Rock, Pebble",பாறை / சிறுபாறை
8,Day 2,Air,Noun,Beginner,காற்று,हवा [Hawa],We need air to breathe.,சுவாசிக்க நமக்கு காற்று தேவை.,हमें सांस लेने के लिए हवा चाहिए।,"Wind, Breeze",வளி
9,Day 2,Cloud,Noun,Beginner,மேகம்,बादल [Baadal],Look at the white cloud.,வெள்ளை மேகத்தைப் பாருங்கள்.,सफेद बादल को देखो।,"Mist, Vapor",கொண்டல்
10,Day 2,Money,Noun,Beginner,பணம்,पैसा [Paisa],I have no money now.,என்னிடம் இப்போது பணம் இல்லை.,मेरे पास अभी पैसे नहीं हैं।,"Cash, Wealth",காசு / கிரயம்
11,Day 3,Cost,Noun,Beginner,விலை,कीमत [Keemat],What is the cost of this?,இதனுடைய விலை என்ன?,इसकी कीमत क्या है?,"Price, Value",கட்டணம்
12,Day 3,Rich,Adjective,Beginner,பணக்காரர்,अमीर [Ameer],He is a rich merchant.,அவர் ஒரு பணக்கார வணிகர்.,वह एक अमीर व्यापारी है।,"Wealthy, Well-off",செல்வந்தர்
13,Day 3,Poor,Adjective,Beginner,ஏழை,गरीब [Gareeb],Help the poor people.,ஏழை மக்களுக்கு உதவுங்கள்.,गरीब लोगों की मदद करें।,"Needy, Destitute",வறியவர்
14,Day 3,Win,Verb,Beginner,வெற்றி,जीतना [Jeetna],We want to win the game.,நாங்கள் ஆட்டத்தில் வெல்ல விரும்புகிறோம்.,हम खेल जीतना चाहते हैं।,"Victory, Succeed",வாகை
15,Day 3,Lose,Verb,Beginner,தோல்வி,हारना [Haarna],Do not lose your hope.,உங்கள் நம்பிக்கையை இழக்காதீர்கள்.,अपनी हिम्मत मत हारो।,"Forfeit, Drop",இழப்பு
16,Day 4,Smile,Verb,Beginner,புன்னகை,मुस्कुराना [Muskurana],Always keep a smile.,எப்போதும் புன்னகையுடன் இருங்கள்.,हमेशा मुस्कुराते रहो।,"Grin, Beam",சிரிப்பு
17,Day 4,Cry,Verb,Beginner,அழு,रोना [Rona],Why did the baby cry?,குழந்தை ஏன் அழுதது?,बच्चा क्यों रोया?,"Weep, Sob",புலம்பு
18,Day 4,Home,Noun,Beginner,இல்லம்,घर [Ghar],I am going home now.,நான் இப்போது வீட்டிற்குச் செல்கிறேன்.,मैं अब घर जा रहा हूँ।,"House, Abode",வீடு
