ID,Category,Level,Text,,
1,Pronunciation,Beginner,The cat sat on the mat.,,
2,Pronunciation,Beginner,The dog dug deep in the dark dirt.,,
3,Pronunciation,Beginner,Big bats fly by at night.,,
4,Dictation,Beginner,I see six sick ducks.,,
5,Pronunciation,Beginner,"Red lorry, yellow lorry.",,
6,Dictation,Beginner,The sun shines on the shop signs.,,
7,Pronunciation,Beginner,Betty bought a bit of butter.,,
8,Dictation,Beginner,Three trees filled with bees.,,
9,Pronunciation,Beginner,"Good blood, bad blood.",,
10,Dictation,Beginner,Is Kim with Jim in the gym?,,
11,Pronunciation,Beginner,Fly Friday after five.,,
12,Dictation,Beginner,A ban on vans began last month.,,
13,Pronunciation,Beginner,The big dwarf only jumps.,,
14,Dictation,Beginner,Six sick pigs sitting still.,,
15,Pronunciation,Beginner,We expect wetter weather next week.,,
16,Dictation,Beginner,My cousin Sunny is Fanny's friend.,,
17,Pronunciation,Beginner,The ship shape shopkeeper.,,
18,Dictation,Beginner,"Bad blood, good blood.",,
19,Pronunciation,Beginner,Sam saw six sad seals.,,
20,Dictation,Beginner,Ten thin trees.,,
21,Pronunciation,Beginner,The blue bluebird blinks.,,
22,Dictation,Beginner,Fresh fish from the fridge.,,
23,Pronunciation,Beginner,Six sharp sharks.,,
24,Dictation,Beginner,The thin king thinks.,,
25,Pronunciation,Beginner,Four furious friends.,,
26,Dictation,Beginner,Big black bugs bleed blue blood.,,
27,Pronunciation,Beginner,The rain in Spain stays mainly in the plain.,,
28,Dictation,Beginner,Five fat fish fry.,,
29,Pronunciation,Beginner,Three free throws.,,
30,Dictation,Beginner,Seven silver swans swam silently seaward.,,
31,Pronunciation,Beginner,The tall tale told by the tailor.,,
32,Dictation,Beginner,Pink links sink.,,
33,Pronunciation,Beginner,Bus bucks.,,
34,Dictation,Beginner,"Good game, well played.",,
35,Pronunciation,Beginner,Six sleek swans swam swiftly.,,
36,Dictation,Beginner,The fat cat caught the rat.,,
37,Pronunciation,Beginner,Three thin thieves.,,
