"Lesson","Image","SizeKB","Status"
"Lesson_01_Subjects","01_intro.webp","496.63","3D (Large)"
"Lesson_01_Subjects","02_first_singular.webp","510.47","3D (Large)"
"Lesson_01_Subjects","03_first_plural.webp","629.15","3D (Large)"
"Lesson_01_Subjects","04_second_singular.webp","342.12","3D (Large)"
"Lesson_01_Subjects","06_third_he.webp","490.36","3D (Large)"
"Lesson_01_Subjects","07_third_she.webp","451.63","3D (Large)"
"Lesson_01_Subjects","08_third_it.webp","456.92","3D (Large)"
"Lesson_01_Subjects","09_third_they.webp","414.26","3D (Large)"
"Lesson_01_Subjects","lesson_01_speaking.webp","112.98","3D (Large)"
"Lesson_01_Subjects","You Plural.webp","334.62","3D (Large)"
"Lesson_02_PartsOfSpeech","adjective.webp","59.44","3D (Large)"
"Lesson_02_PartsOfSpeech","adverb.webp","80.46","3D (Large)"
"Lesson_02_PartsOfSpeech","conjunction.webp","58.34","3D (Large)"
"Lesson_02_PartsOfSpeech","interjection.webp","70.15","3D (Large)"
"Lesson_02_PartsOfSpeech","noun.webp","61.9","3D (Large)"
"Lesson_02_PartsOfSpeech","parts_of_speech_speaking_square.webp","43.79","2D (Small)"
"Lesson_02_PartsOfSpeech","parts_of_speech_summary_square.webp","68.28","3D (Large)"
"Lesson_02_PartsOfSpeech","preposition.webp","53.73","3D (Large)"
"Lesson_02_PartsOfSpeech","pronoun.webp","100.95","3D (Large)"
"Lesson_02_PartsOfSpeech","verb.webp","59.69","3D (Large)"
"Lesson_03_Articles","articles_cheatsheet_square.webp","75.18","3D (Large)"
"Lesson_03_Articles","article_exceptions_square.webp","83.8","3D (Large)"
"Lesson_03_Articles","a_an_quiz_square.webp","126.67","3D (Large)"
"Lesson_03_Articles","a_an_sound_rule_square.webp","120.08","3D (Large)"
"Lesson_03_Articles","a_vs_the_dog_square.webp","89.44","3D (Large)"
"Lesson_03_Articles","mixed_articles_quiz_square.webp","84.1","3D (Large)"
"Lesson_03_Articles","no_article_rules_square.webp","45.96","2D (Small)"
"Lesson_03_Articles","ravi_articles_confused_square.webp","134.28","3D (Large)"
"Lesson_03_Articles","ravi_articles_story_square.webp","144.98","3D (Large)"
"Lesson_03_Articles","the_specific_square.webp","101.89","3D (Large)"
"Lesson_04_Irregular_Verbs","irregular_chart_square.webp","129.6","3D (Large)"
"Lesson_04_Irregular_Verbs","irregular_hook_square.webp","56.78","3D (Large)"
"Lesson_04_Irregular_Verbs","learning_strategy_square.webp","139.49","3D (Large)"
"Lesson_04_Irregular_Verbs","no_change_square.webp","147.42","3D (Large)"
"Lesson_04_Irregular_Verbs","past_equals_square.webp","191.62","3D (Large)"
"Lesson_04_Irregular_Verbs","perfect_tense_square.webp","131.65","3D (Large)"
"Lesson_04_Irregular_Verbs","three_forms_square.webp","33.62","2D (Small)"
"Lesson_04_Irregular_Verbs","top10_irregular_square.webp","75.16","3D (Large)"
"Lesson_04_Irregular_Verbs","vowel_change_square.webp","175.51","3D (Large)"
"Lesson_05_Tense_Future","future_continuous_moment_square.webp","59.34","3D (Large)"
"Lesson_05_Tense_Future","future_continuous_negative_square.webp","83.5","3D (Large)"
"Lesson_05_Tense_Future","future_continuous_qa_square.webp","95.71","3D (Large)"
"Lesson_05_Tense_Future","future_continuous_quiz_square.webp","91.83","3D (Large)"
"Lesson_05_Tense_Future","future_continuous_summary_square.webp","93.73","3D (Large)"
"Lesson_05_Tense_Future","future_time_markers_square.webp","95.21","3D (Large)"
"Lesson_05_Tense_Future","ravi_future_continuous_square.webp","112.28","3D (Large)"
"Lesson_05_Tense_Future","ravi_future_timeline_square.webp","72.67","3D (Large)"
"Lesson_05_Tense_Future","will_be_verb_table_square.webp","69.01","3D (Large)"
"Lesson_07_Sentence_Patterns","5_patterns_overview_square.webp","11.67","2D (Small)"
"Lesson_07_Sentence_Patterns","mix_match_sentence_square.webp","41.54","2D (Small)"
"Lesson_07_Sentence_Patterns","sentence_patterns_cheatsheet_square.webp","33.15","2D (Small)"
"Lesson_07_Sentence_Patterns","svadv_ravi_fast_square.webp","20.52","2D (Small)"
"Lesson_07_Sentence_Patterns","sva_ravi_happy_square.webp","41.04","2D (Small)"
"Lesson_07_Sentence_Patterns","svn_ravi_student_square.webp","19.12","2D (Small)"
"Lesson_07_Sentence_Patterns","svo_ravi_eats_square.webp","29.07","2D (Small)"
"Lesson_07_Sentence_Patterns","sv_ravi_runs_square.webp","17.18","2D (Small)"
"Lesson_08_Types_of_Sentences","4_function_types_square.webp","35.52","2D (Small)"
"Lesson_08_Types_of_Sentences","4_structure_types_square.webp","43.69","2D (Small)"
"Lesson_08_Types_of_Sentences","declarative_ravi_square.webp","25.79","2D (Small)"
"Lesson_08_Types_of_Sentences","exclamatory_ravi_square.webp","56.75","3D (Large)"
