,,,,,,,Level
Exercise_ID,Audio_File_Link,Speaker (Name 1) Line,Speaker (Name 2) Line,Audio file name,Key_Question,Correct_Answer,Beginner (A1)
L001,audio/L001_cafe.mp3,"Ravi: ""Hello, one sandwich and one glass of water, please.""","Cashier: ""That is six dollars.""",Ravi__Hel,How much money should Ravi pay?,Six dollars,Beginner (A1)
L002,audio/L002_plans.mp3,"Priya: ""Let's go to the museum on Sunday.""","Arjun: ""Sunday is good. I will meet you there.""",Priya__Le,Which day are they going to the museum?,Sunday,Beginner (A1)
L003,audio/L003_bank.mp3,"Aisha: ""Excuse me, is the bank near here?""","Local: ""Yes, go left at the big tree.""",Aisha__Ex,What landmark should Aisha look for to turn left?,The big tree,Beginner (A1)
L004,audio/L004_family.mp3,"Sanjay: ""My brother is 25 years old.""","Neha: ""Oh, and you have two sisters, right? Sanjay: Yes, two sisters.""",Sanjay__M,How many sisters does Sanjay have?,Two,Beginner (A1)
L005,audio/L005_time.mp3,"Vikram: ""Do you want to meet at 3:00 PM or 4:00 PM?""","Geeta: ""Let's meet at 4:00 PM, please.""",Vikram__D,What time did Geeta choose to meet?,4:00 PM,Intermediate (B1)
L006,audio/L006_weather.mp3,"Kiran: ""It is cold today, but it is sunny.""","Lalita: ""Yes, I like the sun, but I need my jacket.""",Kiran__It,What item does Lalita say she needs today?,Her jacket,Intermediate (B1)
L007,audio/L007_colors.mp3,"Rajesh: ""I want a blue car.""","Meera: ""I prefer the green one. Rajesh: Okay, I will buy the blue one.""",Rajesh__I,What color car is Rajesh going to buy?,Blue,Intermediate (B1)
L008,audio/L008_repeat.mp3,"Deepa: ""The number is 703-4912.""","Amit: ""Sorry, can you say the number again?""",Deepa__Th,What did Amit ask Deepa to do?,Say the number again,Intermediate (B1)
L009,audio/L009_chores.mp3,"Preeti: ""I need to clean the house before dinner.""","Rohit: ""And I will walk the dog later.""",Preeti__I,What is Preeti going to do before dinner?,Clean the house,Intermediate (B1)
L010,audio/L010_hat.mp3,"Zoya: ""Is this your hat?""","Farhan: ""No, my hat is black. That one is red.""",Zoya__Is,What color is Farhan's actual hat?,Black,Advanced (C1)
L011,audio/L011_shopping.mp3,"Customer: ""I need one kilo of rice.""","Vendor: ""Here you are. That will be three dollars.""",Customer__,How many kilos of rice did the customer buy?,One kilo,Advanced (C1)
L012,audio/L012_greeting.mp3,"Ms. Singh: ""Good morning!""","Mr. Khan: ""Good morning! What time is it? Ms. Singh: It is 8:15.""",Ms. Singh__,What time is it?,8:15,Advanced (C1)
