Exercise_ID,Level,Writing_Focus,Task_Type,Input_Example,Correct_Output,Tamil Translation,Hindi Translation
W101,Beginner,Beginner (A1),Fill in Blank,She ___ (go) to the market every day.,She goes to the market every day.,அவள் தினமும் சந்தைக்குச் செல்கிறாள்.,वह रोज बाजार जाती है।
W102,Beginner,Beginner (A1),Selection,I saw ___ elephant at the zoo.,I saw an elephant at the zoo.,நான் மிருகக்காட்சிசாலையில் ஒரு யானையைப் பார்த்தேன்.,मैंने चिड़ियाघर में एक हाथी देखा।
W103,Beginner,Beginner (A1),Correction,Two childs are playing in the park.,Two children are playing in the park.,இரண்டு குழந்தைகள் பூங்காவில் விளையாடுகிறார்கள்.,दो बच्चे पार्क में खेल रहे हैं।
W104,Beginner,Beginner (A1),Selection,This book belongs to ___ (I/me).,This book belongs to me.,இந்தப் புத்தகம் எனக்குச் சொந்தமானது.,यह किताब मेरी है।
W105,Beginner,Beginner (A1),Fill in Blank,The cat is ___ the table.,The cat is under the table.,பூனை மேசைக்கு அடியில் இருக்கிறது.,बिल्ली मेज के नीचे है।
W106,Beginner,Beginner (A1),Completion,I like tea ___ I don't like coffee.,I like tea but I don't like coffee.,எனக்குத் தேநீர் பிடிக்கும் ஆனால் காபி பிடிக்காது.,मुझे चाय पसंद है लेकिन कॉफी पसंद नहीं है।
W107,Beginner,Beginner (A1),Correction,He is a tallest man.,He is a tall man.,அவர் ஒரு உயரமான மனிதர்.,वह एक लंबा आदमी है।
W108,Beginner,Beginner (A1),Fill in Blank,This is ___ (John) car.,This is John's car.,இது ஜானுடைய கார்.,यह जॉन की कार है।
W109,Beginner,Beginner (A1),Selection,___ is your name?,What is your name?,உங்கள் பெயர் என்ன?,आपका नाम क्या है?
W110,Beginner,Beginner (A1),Transformation,I have a pen.,I do not have a pen.,என்னிடம் பேனா இல்லை.,मेरे पास पेन नहीं है।
W111,Beginner,Beginner (A1),Fill in Blank,They ___ (play) football now.,They are playing football now.,அவர்கள் இப்போது கால்பந்து விளையாடிக்கொண்டிருக்கிறார்கள்.,वे अब फुटबॉल खेल रहे हैं।
W112,Beginner,Beginner (A1),Correction,i live in london.,I live in London.,நான் லண்டனில் வசிக்கிறேன்.,मैं लंदन में रहता हूँ।
W113,Beginner,Beginner (A1),Fill in Blank,"Yesterday, I ___ (see) a movie.","Yesterday, I saw a movie.",நேற்று நான் ஒரு படம் பார்த்தேன்.,कल मैंने एक फिल्म देखी।
W114,Beginner,Beginner (A1),Selection,___ (This/These) apples are sweet.,These apples are sweet.,இந்த ஆப்பிள்கள் இனிப்பானவை.,ये सेब मीठे हैं।
W115,Beginner,Beginner (A1),Fill in Blank,He runs very ___ (quick).,He runs very quickly.,அவர் மிக வேகமாக ஓடுகிறார்.,वह बहुत तेज दौड़ता है।
W116,Intermediate,Beginner (A1),Completion,I ___ (finish) my work already.,I have finished my work already.,நான் ஏற்கனவே என் வேலையை முடித்துவிட்டேன்.,मैंने अपना काम पहले ही पूरा कर लिया है।
W117,Intermediate,Beginner (A1),Completion,"If I were you, I ___ (go).","If I were you, I would go.","நான் உன்னாக இருந்தால், நான் செல்வேன்.","अगर मैं तुम्हारी जगह होता, तो मैं जाता।"
W118,Intermediate,Beginner (A1),Transformation,The chef cooked the meal.,The meal was cooked by the chef.,அந்த உணவு சமையல்காரரால் சமைக்கப்பட்டது.,भोजन रसोइए द्वारा पकाया गया था।
W119,Intermediate,Beginner (A1),Selection,The man ___ stole the bag ran away.,The man who stole the bag ran away.,பையைத் திருடிய மனிதன் ஓடிவிட்டான்.,जिस आदमी ने बैग चुराया वह भाग गया।
W120,Intermediate,Beginner (A1),Selection,You ___ (should/must) see a doctor.,You should see a doctor.,நீ ஒரு மருத்துவரைப் பார்க்க வேண்டும்.,तुम्हें डॉक्टर को दिखाना चाहिए।
W121,Intermediate,Beginner (A1),Transformation,"He said, ""I am tired.""",He said that he was tired.,தான் சோர்வாக இருப்பதாக அவர் கூறினார்.,उसने कहा कि वह थक गया था।
W122,Intermediate,Beginner (A1),Fill in Blank,I am interested in ___ (learn) music.,I am interested in learning music.,எனக்கு இசை கற்பதில் ஆர்வம் உள்ளது.,मुझे संगीत सीखने में दिलचस्पी है।
