Day,Level,English,Tamil,Hindi
Day 1,Intermediate,I will call you as soon as I reach the office.,நான் அலுவலகம் சென்றடைந்தவுடன் உங்களை அழைக்கிறேன். (Naan aluvalagam sendradaindhavudan ungalai azhaikkiren.),मैं ऑफिस पहुँचते ही आपको कॉल करूँगा। (Main office pahunchte hi aapko call karunga.)
Day 1,Intermediate,Do you know how to solve this problem?,இந்தச் சிக்கலை எப்படித் தீர்ப்பது என்று உங்களுக்குத் தெரியுமா? (Indhach chikkalai eppadi theerppadhu endru ungalukku theriyauma?),क्या आप जानते हैं कि इस समस्या को कैसे हल किया जाए? (Kya aap jaante hain ki is samasya ko kaise hal kiya jaye?)
Day 1,Intermediate,I have been waiting for the bus for twenty minutes.,நான் இருபது நிமிடங்களாகப் பேருந்துக்காகக் காத்திருக்கிறேன். (Naan irubadhu nimidangalaagap perundhukkaagak kaathirukkiren.),मैं बीस मिनट से बस का इंतज़ार कर रहा हूँ। (Main bees minute se bus ka intezaar kar raha hoon.)
Day 1,Intermediate,She told me that she would come tomorrow.,அவள் நாளை வருவதாக என்னிடம் சொன்னாள். (Aval naalai varuvadhaga ennidam sonnaal.),उसने मुझसे कहा था कि वह कल आएगी। (Usne mujhse kaha tha ki wah kal aayegi.)
Day 1,Intermediate,It is better to start early to avoid traffic.,போக்குவரத்தைத் தவிர்க்க சீக்கிரமாகத் தொடங்குவது நல்லது. (Pokkuvaraththaith thavirkka seekkiramaagath thodanguvadhu nalladhu.),ट्रैफिक से बचने के लिए जल्दी निकलना बेहतर है। (Traffic se bachne ke liye jaldi nikalna behtar hai.)
Day 2,Intermediate,I am looking for a job in the marketing sector.,நான் சந்தைப்படுத்தல் துறையில் வேலை தேடிக்கொண்டிருக்கிறேன். (Naan sandhaipaduthal thuraiyil velai thedikkondirukkiren.),मैं मार्केटिंग क्षेत्र में नौकरी की तलाश कर रहा हूँ। (Main marketing kshetra mein naukri ki talaash kar raha hoon.)
Day 2,Intermediate,Could you please repeat what you just said?,நீங்கள் இப்போது சொன்னதை மீண்டும் சொல்ல முடியுமா? (Neengal ippodhu sonnadha meendum solla mudiyuma?),क्या आप कृपया दोहरा सकते हैं जो आपने अभी कहा? (Kya aap kripya dohra sakte hain jo aapne abhi kaha?)
Day 2,Intermediate,I prefer tea over coffee in the mornings.,காலை நேரங்களில் நான் காபியை விட தேநீரையே விரும்புகிறேன். (Kaalai nerangalil naan cafiyai vida theneerayai virumbugiren.),मैं सुबह कॉफी के बजाय चाय पसंद करता हूँ। (Main subah coffee ke bajaye chai pasand karta hoon.)
Day 2,Intermediate,We should plan a trip during the summer holidays.,கோடை விடுமுறையில் நாம் ஒரு பயணத்தைத் திட்டமிட வேண்டும். (Kodai vidumuraiyil naam oru payanaththaith thittamida vendum.),हमें गर्मियों की छुट्टियों में एक यात्रा की योजना बनानी चाहिए। (Humein garmiyon ki chhuttiyon mein ek yaatra ki yojna banani chahiye.)
Day 2,Intermediate,He is very good at playing the guitar.,அவர் கிட்டார் வாசிப்பதில் மிகவும் திறமையானவர். (Avar guitar vaasippadhil migavum thiramaiyaanavar.),वह गिटार बजाने में बहुत अच्छा है। (Wah guitar bajane mein bahut accha hai.)
