English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Estimate / Estimated / Estimated,Day 1,Intermediate,மதிப்பிடு / இட்டேன் / இட்டுள்ளேன்,अनुमान लगाना / लगाया / लगा चुका,1. Estimate the cost. // 2. He estimated the time. // 3. I have estimated the weight.,1. விலையை மதிப்பிடு. // 2. அவர் நேரத்தைக் கணித்தார். // 3. நான் எடையைக் கணித்துள்ளேன்.,1. लागत का अनुमान लगाएं। // 2. उसने समय का अनुमान लगाया। // 3. मैंने वजन का अनुमान लगाया है।
Evaluate / Evaluated / Evaluated,Day 1,Intermediate,மதிப்பீடு செய் / செய்தேன் / செய்துள்ளேன்,मूल्यांकन करना / किया / कर चुका,1. Evaluate the results. // 2. She evaluated the car. // 3. They have evaluated us.,1. முடிவுகளை மதிப்பிடு. // 2. அவள் காரை ஆய்வு செய்தாள். // 3. அவர்கள் எங்களை மதிப்பிட்டுள்ளனர்.,1. परिणामों का मूल्यांकन करें। // 2. उसने कार का मूल्यांकन किया। // 3. उन्होंने हमारा मूल्यांकन किया है।
Exaggerate / Exaggerated / Exaggerated,Day 1,Intermediate,மிகைப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,बढ़ा-चढ़ाकर कहना / कहा / कह चुका,1. Don't exaggerate. // 2. He exaggerated the story. // 3. You have exaggerated it.,1. மிகைப்படுத்தாதே. // 2. அவர் கதையை மிகைப்படுத்திக் கூறினார். // 3. நீ அதை மிகைப்படுத்திவிட்டாய்.,1. बढ़ा-चढ़ाकर मत कहो। // 2. उसने कहानी को बढ़ा-चढ़ाकर बताया। // 3. तुमने इसे बढ़ा-चढ़ाकर पेश किया है।
Examine / Examined / Examined,Day 1,Intermediate,ஆய்வு செய் / செய்தேன் / செய்துள்ளேன்,जाँच करना / की / कर चुका,1. Examine the patient. // 2. He examined the file. // 3. I have examined the evidence.,1. நோயாளியைப் பரிசோதி. // 2. அவர் கோப்பை ஆய்வு செய்தார். // 3. நான் ஆதாரத்தைப் பரிசோதித்தேன்.,1. मरीज की जांच करें। // 2. उसने फाइल की जांच की। // 3. मैंने सबूतों की जांच की है।
Exchange / Exchanged / Exchanged,Day 1,Intermediate,பரிமாறிக்கொள் / கொண்டேன் / கொண்டுள்ளேன்,विनिमय करना / किया / कर चुका,1. Exchange the gifts. // 2. They exchanged rings. // 3. I have exchanged the currency.,1. பரிசுகளைப் பரிமாறிக் கொள்ளுங்கள். // 2. அவர்கள் மோதிரங்களை மாற்றிக் கொண்டனர். // 3. நான் பணத்தை மாற்றியுள்ளேன்.,1. उपहारों का आदान-प्रदान करें। // 2. उन्होंने अंगूठियों का आदान-प्रदान किया। // 3. मैंने मुद्रा बदल ली है।
Excite / Excited / Excited,Day 2,Intermediate,உற்சாகப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,उत्साहित करना / किया / कर चुका,1. It excites me. // 2. The news excited him. // 3. You have excited the crowd.,1. அது எனக்கு உற்சாகமளிக்கிறது. // 2. செய்தி அவரை உற்சாகப்படுத்தியது. // 3. நீங்கள் கூட்டத்தை உற்சாகப்படுத்தினீர்கள்.,1. यह मुझे उत्साहित करता है। // 2. खबर ने उसे उत्साहित कर दिया। // 3. आपने भीड़ को उत्साहित कर दिया है।
Exclude / Excluded / Excluded,Day 2,Intermediate,விலக்கு / விலக்கினேன் / விலக்கியுள்ளேன்,निकालना / निकाला / निकाल चुका,1. Exclude the tax. // 2. They excluded him. // 3. I have excluded that option.,1. வரியைத் தவிர். // 2. அவர்கள் அவரை நீக்கினார்கள். // 3. நான் அந்த விருப்பத்தைத் தவிர்த்துவிட்டேன்.,1. टैक्स को बाहर रखें। // 2. उन्होंने उसे बाहर कर दिया। // 3. मैंने उस विकल्प को हटा दिया है।
Excuse / Excused / Excused,Day 2,Intermediate,மன்னிப்பு அளி / அளித்தேன் / அளித்துள்ளேன்,क्षमा करना / की / कर चुका,1. Excuse me. // 2. She excused his behavior. // 3. I have excused you.,1. என்னை மன்னியுங்கள். // 2. அவள் அவன் நடத்தையை மன்னித்தாள். // 3. நான் உன்னை மன்னித்துவிட்டேன்.,1. मुझे क्षमा करें। // 2. उसने उसके व्यवहार को माफ कर दिया। // 3. मैंने तुम्हें माफ कर दिया है।
Execute / Executed / Executed,Day 2,Intermediate,நிறைவேற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,निष्पादित करना / किया / कर चुका,1. Execute the plan. // 2. They executed the order. // 3. I have executed the task.,1. திட்டத்தைச் செயல்படுத்து. // 2. அவர்கள் உத்தரவை நிறைவேற்றினர். // 3. நான் பணியை முடித்துவிட்டேன்.,1. योजना को लागू करें। // 2. उन्होंने आदेश का पालन किया। // 3. मैंने कार्य पूरा कर लिया है।
Exercise / Exercised / Exercised,Day 2,Intermediate,பயிற்சி செய் / செய்தேன் / செய்துள்ளேன்,व्यायाम करना / किया / कर चुका,1. Exercise daily. // 2. He exercised his rights. // 3. I have exercised today.,1. தினமும் உடற்பயிற்சி செய். // 2. அவர் தனது உரிமையைப் பயன்படுத்தினார். // 3. நான் இன்று உடற்பயிற்சி செய்தேன்.,1. रोज व्यायाम करें। // 2. उसने अपने अधिकारों का प्रयोग किया। // 3. मैंने आज व्यायाम किया है।
