,English (V1/V2/V3),Tamil (Infinitive/Past/Perfect Participle),Hindi (Infinitive/Past/Perfect Participle)
1,Speak / Spoke / Spoken,பேசு (Pēsu) / பேசினேன் (Pēsinēn) / பேசியுள்ளேன் (Pēsiuḷḷēn),बोलना (Bolnā) / बोला (Bolā) / बोल चुका (Bol Chukā)
2,Write / Wrote / Written,எழுது (Eḻudu) / எழுதினேன் (Eḻudinēn) / எழுதியுள்ளேன் (Eḻutiyullēn),लिखना (Likhna) / लिखा (Likhā) / लिख चुका (Likh Chukā)
3,See / Saw / Seen,பார் (Pār) / பார்த்தேன் (Pārttēn) / பார்த்திருக்கிறேன் (Pārttirukkirēn),देखना (Dekhnā) / देखा (Dekhā) / देख चुका (Dekh Chukā)
4,Drink / Drank / Drunk,குடி (Kuḍi) / குடித்தேன் (Kuḍittēn) / குடித்திருக்கிறேன் (Kuḍittirukkirēn),पीना (Pīnā) / पीया (Pīyā) / पी चुका (Pī Chukā)
5,Give / Gave / Given,கொடு (Koḍu) / கொடுத்தேன் (Koḍuttēn) / கொடுத்திருக்கிறேன் (Koḍuttirukkirēn),देना (Denā) / दिया (Diyā) / दे चुका (De Chukā)
6,Take / Took / Taken,எடு (Eḍu) / எடுத்தேன் (Eḍuttēn) / எடுத்திருக்கிறேன் (Eḍuttirukkirēn),लेना (Lenā) / लिया (Liyā) / ले चुका (Le Chukā)
7,Come / Came / Come,வா (Vā) / வந்தேன் (Vandhēn) / வந்திருக்கிறேன் (Vandhirukkirēn),आना (Ānā) / आया (Āyā) / आ चुका (Ā Chukā)
8,Run / Ran / Run,ஓடு (Ōḍu) / ஓடினேன் (Ōḍinēn) / ஓடியிருக்கிறேன் (Ōḍiyirukkirēn),दौड़ना (Dauṛnā) / दौड़ा (Dauṛā) / दौड़ चुका (Dauṛ Chukā)
9,Sleep / Slept / Slept,தூங்கு (Tūṅgu) / தூங்கினேன் (Tūṅginēn) / தூங்கியுள்ளேன் (Tūṅgiyuḷḷēn),सोना (Sonā) / सोया (Soyā) / सो चुका (So Chukā)
10,Read / Read / Read,படி (Paḍi) / படித்தேன் (Paḍittēn) / படித்திருக்கிறேன் (Paḍittirukkirēn),पढ़ना (Paṛhnā) / पढ़ा (Paṛhā) / पढ़ चुका (Paṛh Chukā)
11,Know / Knew / Known,தெரி (Teri) / தெரிந்தேன் (Terindhēn) / தெரிந்திருக்கிறேன் (Terindhirukkirēn),जानना (Jānnā) / जाना (Jānā) / जान चुका (Jān Chukā)
12,Think / Thought / Thought,நினை (Niṉai) / நினைத்தேன் (Niṉaittēn) / நினைத்திருக்கிறேன் (Niṉaittirukkirēn),सोचना (Sochnā) / सोचा (Sochā) / सोच चुका (Soch Chukā)
13,Tell / Told / Told,சொல் (Sol) / சொன்னேன் (Sonnēn) / சொல்லியிருக்கிறேன் (Solliyirukkirēn),बताना (Batānā) / बताया (Batāyā) / बता चुका (Batā Chukā)
14,Find / Found / Found,கண்டுபிடி (Kaṇḍupiḍi) / கண்டுபிடித்தேன் (Kaṇḍupiḍittēn) / கண்டுபிடித்திருக்கிறேன் (Kaṇḍupiḍittirukkirēn),ढूँढना (Ḍhūnḍhnā) / ढूँढा (Ḍhūnḍhā) / ढूँढ चुका (Ḍhūnḍh Chukā)
15,Break / Broke / Broken,உடை (Uḍai) / உடைத்தேன் (Uḍaittēn) / உடைத்திருக்கிறேன் (Uḍaittirukkirēn),तोड़ना (Toṛnā) / तोड़ा (Toṛā) / तोड़ चुका (Toṛ Chukā)
16,Catch / Caught / Caught,பிடி (Piḍi) / பிடித்தேன் (Piḍittēn) / பிடித்திருக்கிறேன் (Piḍittirukkirēn),पकड़ना (Pakaṛnā) / पकड़ा (Pakaṛā) / पकड़ चुका (Pakaṛ Chukā)
