id,title,passage,q1,a1,q2,a2,level,Tamil Translation (Passage),Hindi Translation (Passage)
R001,The Silent Guardian,"Mount Everest, known in Nepal as Sagarmatha, is the highest peak on Earth. Climbing it requires immense physical strength.",What is the local name for Everest?,Sagarmatha,What is required to climb it?,Immense physical strength.,Beginner (A1),எவரெஸ்ட் சிகரம் நேபாளத்தில் சாகர்மாதா என்று அழைக்கப்படுகிறது.,माउंट एवरेस्ट को नेपाल में सगरमाथा के नाम से जाना जाता है।
R002,The Red Planet,Mars is known as the Red Planet because of the iron oxide on its surface. It has the largest volcano.,Why is Mars red?,Iron oxide on its surface.,What unique feature does it have?,The largest volcano.,Beginner (A1),அதன் மேற்பரப்பில் உள்ள இரும்பு ஆக்சைடு காரணமாக செவ்வாய் சிவப்பு கிரகம் எனப்படுகிறது.,इसकी सतह पर आयरन ऑक्साइड के कारण मंगल को लाल ग्रह कहा जाता है।
R003,Photosynthesis,Plants use sunlight to turn water and carbon dioxide into food. This process releases oxygen.,What do plants use for food?,"Sunlight, water, and CO2.",What gas do they release?,Oxygen.,Beginner (A1),தாவரங்கள் சூரிய ஒளியைப் பயன்படுத்தி உணவைத் தயாரிக்கின்றன.,पौधे भोजन बनाने के लिए सूर्य के प्रकाश का उपयोग करते हैं।
R004,The Great Wall,"The Great Wall of China was built to protect the empire from invasions. It stretches over 13,000 miles.",Why was it built?,To protect from invasions.,How long is it?,"Over 13,000 miles.",Beginner (A1),சீனப் பெருஞ்சுவர் படையெடுப்பிலிருந்து பாதுகாக்க கட்டப்பட்டது.,चीन की दीवार आक्रमणों से बचने के लिए बनाई गई थी।
R005,The Blue Whale,The Blue Whale is the largest animal. A blue whale's heart is the size of a bumper car.,What is the largest animal?,The Blue Whale.,How big is its heart?,The size of a bumper car.,Beginner (A1),நீலத் திமிங்கலம் உலகின் மிகப்பெரிய விலங்கு ஆகும்.,ब्लू व्हेल दुनिया का सबसे बड़ा जानवर है।
R006,The Amazon,"The Amazon is the ""Lungs of the Planet"" because it produces much of the Earth's oxygen.",What is its nickname?,Lungs of the Planet.,Why is it called that?,It produces oxygen.,Beginner (A1),"அமேசான் காடுகள் ""பூமியின் நுரையீரல்"" என்று அழைக்கப்படுகின்றன.","अमेज़न को ""ग्रह के फेफड़े"" कहा जाता है।"
R007,The Busy Ants,"Ants live in colonies. Every ant has a specific job, like finding food or protecting the queen.",Where do ants live?,In colonies.,What are their jobs?,Finding food/protecting queen.,Beginner (A1),எறும்புகள் காலனிகளில் வாழ்கின்றன.,चींटियाँ कॉलोनियों में रहती हैं।
R008,Gentle Giraffe,Giraffes are the tallest land animals. Their necks help them reach leaves at the top of trees.,Why is their neck long?,To reach high leaves.,What is their height rank?,Tallest land animal.,Beginner (A1),ஒட்டகச்சிவிங்கிகள் மிக உயரமான நிலவாழ் விலங்குகள்.,जिराफ़ सबसे ऊँचे ज़मीनी जानवर हैं।
R009,Healthy Fruit,Apples contain fiber which helps your stomach. Eating one daily keeps you energized.,What helps the stomach?,Fiber.,What is the benefit?,Provides energy.,Beginner (A1),ஆப்பிளில் உள்ள நார்ச்சத்து வயிற்றுக்கு நல்லது.,सेब में फाइबर होता है जो पेट के लिए अच्छा होता है।
R010,Night Owls,Owls are active at night. They have large eyes to see in the dark and fly silently.,When are they active?,At night.,How do they fly?,Silently.,Beginner (A1),ஆந்தைகள் இரவில் சுறுசுறுப்பாக இருக்கும்.,उल्लू रात में सक्रिय होते हैं।
R011,Firefighters,Firefighters wear heavy suits for safety. They use long hoses and tall ladders to save people.,Why wear heavy suits?,For safety.,Name one tool used.,Hoses or Ladders.,Beginner (A1),தீயணைப்பு வீரர்கள் பாதுகாப்பு உடையை அணிகிறார்கள்.,अग्निशमन कर्मी सुरक्षा सूट पहनते हैं।
R012,The Moon,The Moon orbits the Earth. It does not have its own light; it reflects the Sun's light.,Does the moon have light?,"No, it reflects sunlight.",What does it orbit?,The Earth.,Beginner (A1),நிலவு சூரிய ஒளியைப் பிரதிபலிக்கிறது.,चंद्रमा सूर्य के प्रकाश को परावर्तित करता है।
R013,Healthy Teeth,Brushing twice a day prevents cavities. It keeps your smile bright and healthy.,How often to brush?,Twice a day.,What is the benefit?,Prevents cavities.,Beginner (A1),ஒரு நாளைக்கு இருமுறை பல் துலக்குவது நல்லது.,दिन में दो बार ब्रश करना अच्छा होता है।
R014,Rainy Days,Rain helps plants grow. It fills our lakes and provides water for animals to drink.,How does rain help?,Helps plants grow.,Where does water go?,Into lakes.,Beginner (A1),மழை தாவரங்கள் வளர உதவுகிறது.,बारिश पौधों को बढ़ने में मदद करती है।
R015,The Bee's Dance,Bees use a waggle dance to tell others where flowers are. The dance shows the direction.,Why do bees dance?,To show flower locations.,What does it show?,Direction and distance.,Beginner (A1),தேனீக்கள் நடனம் மூலம் உணவின் திசையைக் கூறுகின்றன.,मधुमक्खियाँ नृत्य के माध्यम से भोजन की दिशा बताती हैं।
R016,Bioluminescence,Many deep-sea creatures produce their own light. This is called bioluminescence.,What is the term?,Bioluminescence.,Where does it happen?,In the deep sea.,Beginner (A1),ஆழ்கடல் உயிரினங்கள் ஒளியை உருவாக்குவது பயோலுமினெசென்ஸ் எனப்படும்.,गहरे समुद्र के जीवों का प्रकाश उत्पन्न करना बायोलुमिनेसेंस कहलाता है।
R017,The Printing Press,Gutenberg invented the press in 1440. It made books cheaper and spread knowledge.,Who invented the press?,Johannes Gutenberg.,What was the impact?,Books became cheaper.,Beginner (A1),குட்டன்பெர்க் அச்சு இயந்திரத்தைக் கண்டுபிடித்தார்.,गुटेनबर्ग ने प्रिंटिंग प्रेस का आविष्कार किया।
