Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
1,Day 1,Amalgamate,Verb,Advanced,இணை,मिलाना (Milaana),The two companies decided to amalgamate.,இரண்டு நிறுவனங்களும் இணைய முடிவு செய்தன.,दोनों कंपनियों ने मिलने का फैसला किया।,"Combine, Merge, Unite",ஒன்றிணைத்தல்
2,Day 1,Ameliorate,Verb,Advanced,மேம்படுத்த,सुधारना [Sudhaarna],They tried to ameliorate the poor conditions.,மோசமான நிலைமைகளை மேம்படுத்த அவர்கள் முயன்றனர்.,उन्होंने खराब परिस्थितियों को सुधारने की कोशिश की।,"Improve, Enhance, Better",செம்மைப்படுத்து
3,Day 1,Blandishment,Noun,Advanced,முகஸ்துதி,चापलूसी (Chaaploosi),He resisted the salesman's blandishments.,அவர் விற்பனையாளரின் முகஸ்துதிக்கு எதிர்ப்பு தெரிவித்தார்.,उन्होंने विक्रेता की चापलूसी का विरोध किया।,"Flattery, Cajolery",முகஸ்துதி
4,Day 1,Capricious,Adjective,Advanced,நிலையற்ற,मनमौजी (Manmauji),The weather is capricious today.,இன்று வானிலை நிலையற்றதாக உள்ளது.,आज मौसम मनमौजी है।,"Fickle, Unpredictable, Erratic",நிலையற்ற புத்தி
5,Day 2,Circumvent,Verb,Advanced,தவிர்த்துச் செல்,चकमा देना (Chakma Dena),They tried to circumvent the rules.,அவர்கள் விதிகளைத் தவிர்த்துச் செல்ல முயன்றனர்.,उन्होंने नियमों को चकमा देने की कोशिश की।,"Avoid, Bypass, Evade",தவிர்த்தல் / ஏமாற்றுதல்
6,Day 2,Conjecture,Noun,Advanced,ஊகம்,अनुमान (Anumaan),That is pure conjecture.,அது வெறும் ஊகம் ஆகும்.,वह शुद्ध अनुमान है।,"Guess, Speculation, Surmise",ஊகம்
7,Day 2,Deleterious,Adjective,Advanced,தீங்கு விளைவிக்கும்,हानिकारक (Haanikaarak),Smoking has a deleterious effect on health.,புகைபிடித்தல் ஆரோக்கியத்தில் தீங்கு விளைவிக்கும் விளைவைக் கொண்டுள்ளது.,धूम्रपान का स्वास्थ्य पर हानिकारक प्रभाव पड़ता है।,"Harmful, Damaging, Injurious",தீங்கான
8,Day 2,Disparage,Verb,Advanced,இழிவுபடுத்து,नीचा दिखाना [Neecha Dikhaana],Do not disparage the efforts of others.,மற்றவர்களின் முயற்சிகளை இழிவுபடுத்தாதீர்கள்.,दूसरों के प्रयासों को नीचा मत दिखाओ।,"Belittle, Decry, Criticize",இகழ்ந்து பேசுதல்
9,Day 2,Disseminate,Verb,Advanced,பரப்பு,फैलाना (Phailaana),The news must disseminate quickly.,இந்தச் செய்தி விரைவாகப் பரப்பப்பட வேண்டும்.,खबर तेजी से फैलानी चाहिए।,"Spread, Circulate, Diffuse",பரப்புதல்
10,Day 3,Equivocate,Verb,Advanced,இருபொருள் பேசு,टालमटोल करना (Taalmatol Karna),Don't equivocate in your answer.,உங்கள் பதிலில் இருபொருள் பேச வேண்டாம்.,अपने उत्तर में टालमटोल न करें।,"Prevaricate, Hedge, Stall",நழுவுதல்
11,Day 3,Exacerbate,Verb,Advanced,மோசமாக்கு,बदतर बनाना (Badtar Banana),Don't exacerbate the problem.,பிரச்சனையை மோசமாக்க வேண்டாம்.,समस्या को बदतर न बनाएं।,"Aggravate, Worsen, Inflame",மோசமாக்கு
12,Day 3,Gerrymander,Verb,Advanced,கள்ளத்தனமாகப் பிரிக்க,अवैध रूप से क्षेत्र विभाजित करना (Avaidh Roop Se Kshetra Vibhajit Karna),They accused the party of gerrymandering.,அவர்கள் கட்சியை கள்ளத்தனமாகப் பிரிக்க குற்றம் சாட்டினர்.,उन्होंने पार्टी पर अवैध रूप से क्षेत्र विभाजित करने का आरोप लगाया।,"Manipulate, Fix, Rig",தொகுதி மாற்றச் சதி
13,Day 3,Gregarious,Adjective,Advanced,கூட்டமாக வாழும்,मिलनसार (Milansaar),She is a gregarious and friendly person.,அவள் ஒரு கூட்டமாக வாழும் மற்றும் நட்பான நபர்.,वह एक मिलनसार और दोस्ताना इंसान है।,"Sociable, Outgoing, Friendly",கலகலப்பான
14,Day 3,Heterogeneous,Adjective,Advanced,பலவகைப்பட்ட,विषमांगी (Vishmaangi),The crowd was heterogeneous.,கூட்டம் பலவகைப்பட்டதாக இருந்தது.,भीड़ विषमांगी थी।,"Diverse, Varied, Mixed",பலதரப்பட்ட
15,Day 4,Idiosyncrasy,Noun,Advanced,தனித்தன்மை,विलक्षणता (Vilakshanta),His idiosyncrasy was eating only green foods.,பச்சை உணவுகளை மட்டுமே சாப்பிடுவது அவரது தனித்தன்மை ஆகும்.,उनकी विलक्षणता केवल हरे खाद्य पदार्थ खाना थी।,"Peculiarity, Quirk, Mannerism",தனித்தன்மை
16,Day 4,Impasse,Noun,Advanced,முட்டுக்கட்டை,गतिरोध [Gatirodh],Negotiations reached a sudden impasse.,பேச்சுவார்த்தை திடீர் முட்டுக்கட்டையை அடைந்தது.,बातचीत अचानक गतिरोध पर पहुँच गई।,"Deadlock, Stalemate, Standoff",தடை
17,Day 4,Impeccable,Adjective,Advanced,குறையற்ற,त्रुटिहीन (Trutihin),His manners were impeccable.,அவரது நடத்தை குறையற்றதாக இருந்தது.,उनका व्यवहार त्रुटिहीन था।,"Flawless, Perfect, Spotless",குறையற்ற
18,Day 4,Incendiary,Adjective,Advanced,ஆத்திரமூட்டும்,भड़काऊ (Bhadkaau),He made an incendiary speech.,அவர் ஒரு ஆத்திரமூட்டும் உரையை நிகழ்த்தினார்.,उन्होंने एक भड़काऊ भाषण दिया।,"Inflammatory, Provocative",தூண்டிவிடும்
19,Day 4,Incorporate,Verb,Advanced,இணைத்துக்கொள்,शामिल करना (Shaamil Karna),We must incorporate new ideas.,நாம் புதிய யோசனைகளை இணைத்துக்கொள்ள வேண்டும்.,हमें नए विचारों को शामिल करना चाहिए।,"Include, Integrate, Combine",ஒருங்கிணைத்தல்
20,Day 5,Juggernaut,Noun,Advanced,தடைசெய்ய முடியாத சக்தி,प्रचंड शक्ति (Prachand Shakti),The company became a market juggernaut.,அந்த நிறுவனம் ஒரு சந்தை தடைசெய்ய முடியாத சக்தியாக மாறியது.,कंपनी एक बाजार प्रचंड शक्ति बन गई।,"Force, Power, Steamroller",தடுக்க முடியாத சக்தி
21,Day 5,Lugubrious,Adjective,Advanced,சோகமான,उदास (Udaas),He had a lugubrious expression.,அவரிடம் ஒரு சோகமான வெளிப்பாடு இருந்தது.,उनका उदास भाव था।,"Mournful, Gloomy, Sad",துயரமான
