Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
1,Day 1,Fluctuate,Verb,Intermediate,ஏறு இறங்கு,उतार-चढ़ाव होना (Utaar-Chadhav Hona),Prices often fluctuate.,விலைகள் அடிக்கடி ஏறு இறங்கும்.,कीमतें अक्सर उतार-चढ़ाव करती हैं।,"Vary, Waver, Shift",ஏற்றத்தாழ்வு
2,Day 1,Furtive,Adjective,Intermediate,திருட்டுத்தனமான,गुप्त (Gupt),They exchanged furtive glances.,அவர்கள் திருட்டுத்தனமான பார்வைகளைப் பரிமாறிக் கொண்டனர்.,उन्होंने गुप्त नज़रें मिलाईं।,"Secretive, Sly, Stealthy",ரகசியமான / திருட்டுத்தனமான
3,Day 1,Gainsay,Verb,Intermediate,மறுக்க,इनकार करना (Inkaar Karna),No one could gainsay his achievement.,அவரது சாதனையை யாரும் மறுக்க முடியவில்லை.,कोई भी उनकी उपलब्धि से इनकार नहीं कर सकता था।,"Deny, Contradict, Dispute",மறுத்துக் கூறுதல்
4,Day 1,Garner,Verb,Intermediate,சேகரி,जमा करना (Jama Karna),He managed to garner enough support.,அவர் போதுமான ஆதரவை சேகரிக்க முடிந்தது.,वह पर्याप्त समर्थन जमा करने में कामयाब रहे।,"Collect, Gather, Accumulate",சேகரித்தல்
5,Day 1,Garrulous,Adjective,Intermediate,அதிகப் பேசும்,बातूनी (Baatooni),The garrulous host kept talking.,அதிகம் பேசும் தொகுப்பாளர் பேசிக் கொண்டே இருந்தார்.,बातूनी मेज़बान बात करता रहा।,"Talkative, Loquacious, Chatty",வளவளவென்று பேசும்
6,Day 2,Gist,Noun,Intermediate,சுருக்கம்,सार (Saar),What is the gist of the conversation?,உரையாடலின் சுருக்கம் என்ன?,बातचीत का सार क्या है?,"Essence, Core, Substance",மையக்கருத்து
7,Day 2,Glib,Adjective,Intermediate,மேலோட்டமாகப் பேசும்,चिकनी-चुपड़ी बातें करने वाला (Chikni-Chupdi Baatein Karne Wala),Don't trust his glib promises.,அவரது மேலோட்டமாகப் பேசும் வாக்குறுதிகளை நம்ப வேண்டாம்.,उसके चिकनी-चुपड़ी वादों पर भरोसा मत करो।,"Fluent, Superficial, Slick",சரளமான (ஆனால் ஆழமற்ற)
8,Day 2,Gratify,Verb,Intermediate,திருப்திப்படுத்து,संतुष्ट करना (Santusht Karna),His success will gratify his parents.,அவரது வெற்றி அவரது பெற்றோரை திருப்திப்படுத்தும்.,उसकी सफलता से उसके माता-पिता संतुष्ट होंगे।,"Satisfy, Please, Delight",திருப்திப்படுத்து
9,Day 2,Halcyon,Adjective,Intermediate,அமைதியான (கடந்த காலம்),शांत (Shaant),They remembered their halcyon days.,அவர்கள் தங்கள் அமைதியான நாட்களை நினைவில் வைத்திருந்தார்கள்.,उन्हें अपने शांत दिन याद थे।,"Peaceful, Calm, Happy",அமைதியான / மகிழ்ச்சியான
10,Day 2,Hapless,Adjective,Intermediate,துரதிர்ஷ்டவசமான,अभागा (Abhaaga),The hapless traveller lost his way.,துரதிர்ஷ்டவசமான பயணி வழிதவறிவிட்டார்.,अभागा यात्री अपना रास्ता भटक गया।,"Unfortunate, Unlucky, Luckless",துரதிர்ஷ்டவசமான
